,Date,PnL,LongsP,ShortsP,LongsD,ShortsD,LongsG,ShortsG,LongsT,ShortsT,LongsV,ShortsV,Sim
0,2016-07-15,0.0,302814166.8806536,-302794405.9541192,4970623618.444019,-5018040063.304674,561749742.7799537,-557902130.2148128,6250000.0,-6250000.0,11881569.640671209,-11999288.775812242,0
1,2016-07-18,727686.5959909006,300561537.77510214,-297802118.4381615,5010607972.73623,-5070613144.247366,584440880.1409748,-581640237.110778,6485267.026341758,-6495255.70579079,11282989.694435611,-11416613.737113312,0
2,2016-07-19,-1404268.0417855177,289443664.41086435,-290622247.2107167,4966363631.318393,-5071079536.90929,590787308.781821,-581234645.7699729,6513595.941382996,-6509253.677877953,11016521.164856285,-11080686.251982829,0
3,2016-07-20,4514793.553766351,320836837.9226116,-305801807.3241212,5267510745.841291,-5252932557.012869,590787588.3443683,-588654301.6966197,6516058.666414748,-6506275.418518939,10655347.3785033,-10768485.771545066,0
4,2016-07-21,-3417732.0160916727,309092604.86210525,-288205638.66862625,5108504277.261517,-5017018780.518135,598947904.3959699,-589796420.370365,6475387.093400212,-6426906.356184655,10308529.24876102,-10328538.82301278,0
5,2016-07-22,-5854251.368994519,346875992.5233731,-324532444.32049406,5572238854.824113,-5449144089.884008,599431539.0240476,-588835309.2629108,6468961.765815686,-6415680.090469606,9946500.78729806,-9947774.24501998,0
6,2016-07-25,-830661.9163862581,334286291.50355285,-302055534.59856963,5506901995.469469,-5326135329.474836,621523376.0537562,-613525587.1558673,6657918.11618662,-6639595.525412755,9181019.299444985,-9225700.00007818,0
7,2016-07-26,-996228.1412059698,347020358.5142393,-306638896.9548306,5621883514.553337,-5342290286.664266,621785466.8248156,-619741721.1510296,6704797.998931983,-6728013.6318563325,8850962.183718573,-8967956.454747204,0
8,2016-07-27,4338583.23862246,335648474.9383286,-289164907.0836563,5347078024.867115,-5040437763.823875,602513508.718226,-611924341.4580035,6599093.290212689,-6657150.854147153,8300683.955477705,-8498834.256076582,0
9,2016-07-28,-3531456.277820821,352921049.63607216,-306826358.7021363,5587650847.445277,-5285093205.103167,598072615.9931408,-615344332.2439728,6431242.253087858,-6606755.399488991,7809446.782591657,-8125227.812297354,0
10,2016-07-29,1331813.8002951583,372815258.8560136,-327320342.913428,5735930136.854974,-5463174635.126661,575916977.8232236,-602137339.2627738,6248027.717515569,-6428750.298453591,7211053.550619149,-7572668.254075121,0
11,2016-08-01,-766001.9492891596,361684341.2452202,-315210090.3187717,5729972599.694965,-5451210854.869513,583551650.8127532,-622976755.438186,6332023.689940064,-6595129.879935019,6257887.797165575,-6687317.4375792,0
12,2016-08-02,-6813789.2367680445,301511891.0562521,-261751910.51201305,5150897478.684611,-4750802134.156188,605439955.940409,-628542638.9247947,6563853.357296579,-6588525.62212919,6133894.861046544,-6340869.468479443,0
13,2016-08-03,-1717943.9665939051,327081722.4667517,-286111129.7898778,5328530181.788427,-4891270479.316513,596230195.522253,-625860649.5065391,6482786.860630628,-6590061.908931181,5706200.894813865,-5941351.513268664,0
14,2016-08-04,-4246809.204631944,328607533.8256036,-282711332.9193928,5308135887.849175,-4787443043.844965,596791161.9162984,-609396069.9083662,6392714.904086375,-6359844.877297027,5308006.098454585,-5393307.426831577,0
15,2016-08-05,3312583.48966928,376312948.9665293,-334488973.21761465,5714478434.531569,-5247094668.77087,582033857.7854999,-584225460.4546051,6197881.393914498,-6268834.454410104,4816257.7768693445,-4880365.099244078,0
16,2016-08-08,705500.6622677199,368506925.8194657,-321255822.07074225,5673993093.740912,-5204725072.920904,593118542.7763416,-607965448.579406,6210773.658491361,-6415314.807683056,3832625.472662031,-3957874.481172993,0
17,2016-08-09,2642024.7134263986,383615143.4018545,-323753052.1322776,5769476943.917698,-5304489614.876406,580931708.727709,-615996045.0942692,5994963.197578294,-6414188.8422556855,3384949.457870478,-3621553.937955586,0
18,2016-08-10,-442888.5532208632,379681861.0340202,-308934268.9524553,5777990691.041183,-5202376780.61878,601092193.6120061,-631194906.4900367,5991874.7065529935,-6389816.842242671,3085816.412230194,-3297766.517683765,0
19,2016-08-11,3435911.579760707,401607271.983092,-337865266.3459257,5914854636.609809,-5515042571.146174,588235963.2299325,-630678790.5620239,5813817.1438962845,-6295749.823530341,2675457.063114483,-2907730.079144095,0
20,2016-08-12,682392.1740814091,400826865.2757901,-336252025.68535686,5894961517.461605,-5476250907.42628,598043291.7960043,-639059027.5357826,5761979.443450657,-6374367.153210359,2349531.6175830355,-2576842.109659102,0
21,2016-08-15,220706.13264809467,430103605.5324194,-362794445.52806914,6069433521.958242,-5764461856.588139,571070985.1398053,-579164909.9431965,5470699.987314096,-6005796.939582495,1279005.85352237,-1361808.8111643544,0
22,2016-08-16,3785994.262434159,393889960.1477728,-317598628.5020495,5642381058.87451,-5246689704.83725,538026590.5752451,-602127171.3067454,5378191.007680214,-6258902.59973357,920434.0676521008,-1063810.8044603113,0
23,2016-08-17,3408973.2935062554,386877644.1740832,-310992901.3313048,5637567698.26877,-5258610855.001071,559120531.0504987,-591197362.9645834,5284154.7158454005,-6006609.588433331,620140.6607653596,-684584.9781132345,0
24,2016-08-18,987678.0393507412,415807636.0221753,-339241262.4582412,5935816711.208258,-5620585228.845095,519166648.4503393,-622122341.1466699,4779901.398605378,-6019275.085085442,281273.32156921533,-348123.95146798855,0
25,2016-08-19,3228481.961237845,668268910.447552,-580960149.2415318,4594831557.193087,-4707979549.196292,609104283.5954771,-625135036.0211064,6250000.0,-6250000.0,9868491.988140136,-10118512.082142169,0
